Table with row headers in column A and column headers in rows 12 through 13.,,,,,,,,
"Census 2000 PHC-T-28.  Employment Status of the Population in Households for the United States, States, Counties, Places, and for Puerto Rico:  2000",,,,,,,,
,,,,,,,,
"Table 1.  Employment Status of the Population 16 Years Old and Over in Households for the United States, States, Counties, and for Puerto Rico: 2000",,,,,,,,
,,,,,,,,
Note:  Numbers rounded to 10's.,,,,,,,,
"Source:  U.S. Census Bureau, Census 2000, special tabulation.",,,,,,,,
"Internet release date:  October 6, 2003",,,,,,,,
"Last Revised:  November 4, 2003",,,,,,,,
"Note:  This houshold-only county file was reposted on November 4, 2003, to correct errors in the estimates for several counties in Puerto Rico.  An error in the county codes for Puerto Rico caused the previous version's estimates to be switched among these municipios: Anasco, Arecibo, Arroyo, Guanica, Guayama, Guayanilla, Guaynabo, and Gurabo.  The estimates have been corrected in this new version.",,,,,,,,
"[Data based on a sample.  For information on confidentiality protection, sampling error, nonsampling error, and definitions, see, http://www.census.gov/prod/cen2000/doc/sf3.pdf]",,,,,,,,
"United States
State
County",Total household population 16 and over,Civilian labor force,,,,Armed Forces,Not in labor force,
DeKalb County,"13,540","8,290","7,900",390,4.7,0,"5,240",
Decatur County,"9,270","5,450","5,170",280,5.1,0,"3,820",
Dickson County,"32,500","21,600","20,660",950,4.4,40,"10,860",
Dyer County,"28,150","17,900","16,590","1,320",7.4,30,"10,210",
Fayette County,"21,960","13,520","12,780",740,5.5,10,"8,430",
Fentress County,"12,870","6,820","6,320",500,7.3,0,"6,050",
Franklin County,"29,610","17,770","16,910",860,4.8,60,"11,790",
Gibson County,"36,820","22,700","21,400","1,300",5.7,10,"14,110",
Giles County,"22,530","14,300","13,710",590,4.1,0,"8,230",
Grainger County,"16,270","9,390","8,940",460,4.9,0,"6,880",
Greene County,"48,790","30,340","28,740","1,610",5.3,40,"18,400",
Grundy County,"10,970","5,730","5,370",360,6.3,0,"5,240",
Hamblen County,"45,460","28,600","27,420","1,180",4.1,40,"16,820",
Hamilton County,"236,910","154,720","147,290","7,430",4.8,140,"82,040",
Hancock County,"5,290","2,640","2,490",150,5.7,0,"2,650",
Hardeman County,"18,270","10,830","10,120",710,6.6,10,"7,430",
Hardin County,"19,900","11,360","10,790",570,5.0,20,"8,530",
Hawkins County,"42,010","23,960","22,730","1,230",5.1,50,"18,000",
Haywood County,"14,730","9,100","8,470",620,6.8,10,"5,630",
Henderson County,"19,590","12,200","11,660",530,4.3,10,"7,380",
Henry County,"24,580","14,500","13,630",870,6.0,40,"10,050",
Hickman County,"16,010","9,500","9,080",430,4.5,20,"6,490",
Houston County,"6,140","3,430","3,310",130,3.8,0,"2,700",
Humphreys County,"13,990","8,520","8,130",390,4.6,10,"5,460",
Jackson County,"8,760","4,940","4,630",310,6.3,0,"3,810",
Jefferson County,"33,640","21,270","20,200","1,080",5.1,20,"12,350",
Johnson County,"12,970","6,760","6,310",450,6.7,0,"6,210",
Knox County,"293,720","192,680","184,240","8,440",4.4,170,"100,880",
Lake County,"4,480","2,550","2,330",220,8.6,0,"1,920",
Lauderdale County,"18,490","11,000","10,250",760,6.9,10,"7,480",
Lawrence County,"30,330","18,550","17,140","1,410",7.6,20,"11,760",
Lewis County,"8,620","5,260","4,840",420,8.0,10,"3,350",
Lincoln County,"24,270","15,440","14,760",690,4.5,30,"8,800",
Loudon County,"31,070","18,750","18,070",680,3.6,0,"12,320",
Macon County,"15,450","9,990","9,490",500,5.0,10,"5,460",
Madison County,"67,460","45,530","42,850","2,680",5.9,30,"21,900",
Marion County,"21,720","12,740","12,060",690,5.4,0,"8,980",
Marshall County,"20,450","13,650","13,060",590,4.3,10,"6,790",
Maury County,"52,420","35,630","34,160","1,470",4.1,50,"16,740",
McMinn County,"37,860","23,110","21,910","1,200",5.2,30,"14,720",
McNairy County,"19,070","11,330","10,760",570,5.0,0,"7,740",
Meigs County,"8,460","4,760","4,460",300,6.3,0,"3,700",
Monroe County,"29,840","17,360","16,180","1,180",6.8,60,"12,420",
Montgomery County,"95,790","57,680","54,330","3,350",5.8,"10,050","28,070",
Moore County,"4,430","2,880","2,740",140,4.9,20,"1,520",
Morgan County,"14,050","7,980","7,420",560,7.0,0,"6,080",
Obion County,"25,130","15,550","14,740",820,5.3,20,"9,560",
Overton County,"15,880","9,390","8,870",520,5.5,10,"6,480",
Perry County,"5,860","3,420","3,230",190,5.6,0,"2,440",
Pickett County,"3,930","2,220","2,130",90,4.1,0,"1,720",
Polk County,"12,620","7,290","6,940",350,4.8,10,"5,320",
Putnam County,"47,540","30,250","28,830","1,420",4.7,40,"17,260",
Rhea County,"21,650","12,990","12,470",530,4.1,10,"8,650",
Roane County,"41,040","23,940","22,740","1,210",5.1,30,"17,080",
Robertson County,"40,990","28,470","27,500",960,3.4,60,"12,460",
Rutherford County,"133,300","98,430","94,700","3,730",3.8,240,"34,620",
Scott County,"16,070","8,520","7,890",630,7.4,10,"7,540",
Sequatchie County,"8,680","5,210","4,940",270,5.2,0,"3,480",
Sevier County,"55,950","37,550","35,160","2,390",6.4,10,"18,390",
Shelby County,"652,750","433,920","406,660","27,250",6.3,"1,750","217,090",
Smith County,"13,640","8,610","8,240",370,4.3,10,"5,020",
Stewart County,"9,660","5,410","5,000",410,7.6,180,"4,070",
Sullivan County,"120,980","70,820","67,660","3,160",4.5,80,"50,080",
Sumner County,"98,970","68,350","65,880","2,470",3.6,120,"30,500",
Tipton County,"37,070","24,470","23,280","1,190",4.9,310,"12,280",
Trousdale County,"5,560","3,380","3,310",80,2.4,0,"2,170",
Unicoi County,"14,200","8,060","7,540",520,6.5,10,"6,130",
Union County,"13,620","7,860","7,470",390,5.0,10,"5,760",
Van Buren County,"4,310","2,700","2,520",180,6.7,0,"1,600",
Warren County,"29,340","18,520","17,720",810,4.4,0,"10,810",
Washington County,"83,080","52,990","50,300","2,690",5.1,120,"29,970",
Wayne County,"11,500","6,460","6,010",450,7.0,0,"5,040",
Weakley County,"25,800","16,170","15,250",920,5.7,20,"9,610",
White County,"17,960","11,050","10,380",670,6.1,10,"6,900",
Williamson County,"92,610","67,180","65,550","1,630",2.4,40,"25,400",
Wilson County,"66,710","48,040","46,520","1,520",3.2,60,"18,610",
Texas,"15,066,450","9,742,230","9,191,300","550,930",5.7,"72,970","5,251,250",Texas
Anderson County,"30,310","18,400","17,010","1,390",7.6,0,"11,910",
Andrews County,"9,420","5,510","5,060",450,8.2,0,"3,910",
Angelina County,"58,040","35,760","33,710","2,060",5.8,20,"22,260",
Aransas County,"17,660","9,250","8,570",680,7.4,80,"8,330",
Archer County,"6,650","4,480","4,330",150,3.3,20,"2,160",
Armstrong County,"1,590","1,010",980,30,3.0,0,580,
Atascosa County,"27,380","16,400","15,430",970,5.9,30,"10,960",
Austin County,"17,830","11,260","10,760",500,4.4,0,"6,570",
Bailey County,"4,780","2,980","2,720",260,8.7,0,"1,800",
Bandera County,"13,700","8,180","7,810",370,4.5,50,"5,480",
Bastrop County,"41,480","27,570","26,500","1,070",3.9,30,"13,890",
Baylor County,"3,220","1,650","1,570",80,4.8,0,"1,570",
Bee County,"18,300","10,710","9,870",850,7.9,10,"7,580",
Bell County,"166,970","95,840","89,590","6,250",6.5,"19,730","51,400",
Bexar County,"1,005,460","627,840","592,250","35,590",5.7,"15,740","361,880",
Blanco County,"6,460","4,060","3,940",120,3.0,0,"2,400",
Borden County,570,360,340,10,2.8,0,220,
Bosque County,"13,040","7,470","7,100",370,5.0,10,"5,560",
Bowie County,"62,760","38,410","35,810","2,600",6.8,70,"24,280",
Brazoria County,"169,300","112,720","106,600","6,120",5.4,100,"56,480",
Brazos County,"110,240","73,350","69,820","3,530",4.8,300,"36,590",
Brewster County,"6,690","4,230","3,950",290,6.9,0,"2,460",
Briscoe County,"1,360",810,780,30,3.7,0,550,
Brooks County,"5,720","2,680","2,450",230,8.6,0,"3,040",
Brown County,"27,290","16,300","15,310",980,6.0,40,"10,960",
Burleson County,"12,530","7,360","7,020",340,4.6,0,"5,170",
Burnet County,"25,860","15,420","14,970",450,2.9,20,"10,420",
Caldwell County,"22,540","14,170","13,400",770,5.4,30,"8,340",
Calhoun County,"15,200","8,900","8,240",660,7.4,10,"6,290",
Callahan County,"9,850","5,890","5,590",290,4.9,30,"3,930",
Cameron County,"230,310","122,610","108,780","13,840",11.3,200,"107,500",
Camp County,"8,640","4,890","4,600",290,5.9,0,"3,750",
Carson County,"4,840","3,110","3,030",80,2.6,0,"1,720",
Cass County,"23,250","12,600","11,880",720,5.7,10,"10,650",
Castro County,"5,800","3,560","3,350",210,5.9,0,"2,240",
Chambers County,"19,160","12,350","11,740",610,4.9,0,"6,810",
Cherokee County,"32,860","19,630","18,610","1,020",5.2,10,"13,220",
Childress County,"4,490","2,730","2,570",160,5.9,0,"1,770",
Clay County,"8,500","5,500","5,310",190,3.5,40,"2,950",
Cochran County,"2,680","1,500","1,330",170,11.3,0,"1,180",
Coke County,"2,870","1,520","1,450",70,4.6,0,"1,350",
Coleman County,"7,150","3,900","3,660",250,6.4,0,"3,250",
Collin County,"360,640","274,540","266,840","7,700",2.8,160,"85,940",
Collingsworth County,"2,430","1,330","1,270",60,4.5,10,"1,090",
Colorado County,"15,070","9,040","8,630",420,4.6,0,"6,030",
Comal County,"59,260","37,640","36,300","1,340",3.6,200,"21,420",
Comanche County,"10,570","6,130","5,890",240,3.9,0,"4,440",
Concho County,"2,060","1,230","1,190",40,3.3,0,830,
Cooke County,"26,940","17,190","16,430",770,4.5,20,"9,720",
Coryell County,"40,250","22,360","20,880","1,480",6.6,"6,270","11,620",
Cottle County,"1,470",860,810,50,5.8,0,610,
Crane County,"2,830","1,580","1,450",130,8.2,0,"1,260",
Crockett County,"2,960","1,920","1,790",130,6.8,0,"1,040",
Crosby County,"5,060","2,880","2,650",230,8.0,0,"2,180",
Culberson County,"2,170","1,380","1,290",80,5.8,0,800,
Dallam County,"4,450","2,910","2,770",140,4.8,0,"1,530",
Dallas County,"1,631,390","1,116,800","1,056,780","60,030",5.4,650,"513,940",
Dawson County,"9,410","5,390","4,950",440,8.2,0,"4,020",
DeWitt County,"14,070","8,380","7,890",490,5.8,0,"5,690",
Deaf Smith County,"12,710","7,790","7,120",670,8.6,0,"4,920",
Delta County,"4,060","2,390","2,270",130,5.4,0,"1,670",
Denton County,"316,260","244,710","237,180","7,530",3.1,200,"71,350",
Dickens County,"1,810","1,030",980,50,4.9,0,780,
Dimmit County,"7,120","3,900","3,340",560,14.4,0,"3,220",
Donley County,"2,880","1,700","1,640",60,3.5,0,"1,180",
Duval County,"9,190","4,730","4,280",450,9.5,20,"4,450",
Eastland County,"13,710","7,920","7,540",380,4.8,0,"5,780",
Ector County,"86,960","53,990","49,940","4,050",7.5,10,"32,960",
Edwards County,"1,600",850,810,40,4.7,0,750,
El Paso County,"473,930","264,890","240,460","24,430",9.2,"5,920","203,130",
Ellis County,"79,690","55,610","53,340","2,270",4.1,20,"24,060",
Erath County,"23,970","15,490","14,880",610,3.9,0,"8,480",
Falls County,"12,430","6,830","6,360",470,6.9,0,"5,600",
Fannin County,"21,450","13,000","12,330",670,5.2,10,"8,440",
Fayette County,"16,910","10,350","10,030",320,3.1,0,"6,560",
Fisher County,"3,370","1,920","1,840",70,3.6,0,"1,450",
Floyd County,"5,480","3,160","2,950",210,6.6,0,"2,330",
Foard County,"1,220",690,680,20,2.9,0,520,
Fort Bend County,"247,730","174,070","166,140","7,930",4.6,150,"73,510",
Franklin County,"7,290","4,060","3,870",180,4.4,0,"3,230",
Freestone County,"12,690","7,270","6,970",300,4.1,10,"5,410",
Frio County,"9,950","5,660","5,260",400,7.1,10,"4,280",
Gaines County,"9,970","5,770","5,460",320,5.5,0,"4,190",
Galveston County,"186,810","121,400","113,870","7,530",6.2,400,"65,010",
Garza County,"3,240","1,940","1,830",110,5.7,0,"1,290",
Gillespie County,"16,380","9,630","9,300",330,3.4,0,"6,750",
Glasscock County,"1,000",620,600,20,3.2,0,380,
Goliad County,"5,240","3,050","2,950",100,3.3,0,"2,190",
Gonzales County,"13,700","8,290","7,900",390,4.7,10,"5,410",
Gray County,"16,290","9,250","8,750",500,5.4,0,"7,040",
Grayson County,"82,990","52,920","50,450","2,460",4.6,60,"30,020",
Gregg County,"82,280","51,880","48,710","3,180",6.1,0,"30,400",
Grimes County,"15,600","9,490","8,900",590,6.2,10,"6,100",
Guadalupe County,"64,930","42,530","40,580","1,950",4.6,"1,020","21,380",
Hale County,"24,470","15,490","14,430","1,060",6.8,10,"8,970",
Hall County,"2,840","1,560","1,420",140,9.0,0,"1,280",
Hamilton County,"6,260","3,510","3,420",90,2.6,0,"2,750",
Hansford County,"3,990","2,500","2,420",80,3.2,0,"1,490",
Hardeman County,"3,640","2,200","2,120",80,3.6,0,"1,440",
Hardin County,"36,120","21,860","20,620","1,240",5.7,10,"14,260",
Harris County,"2,479,170","1,642,640","1,542,120","100,520",6.1,"1,560","834,970",
Harrison County,"45,960","27,580","25,850","1,730",6.3,60,"18,320",
Hartley County,"3,060","2,080","2,060",20,1.0,0,980,
Haskell County,"4,760","2,550","2,420",130,5.1,0,"2,210",
Hays County,"69,300","49,890","47,980","1,910",3.8,70,"19,340",
Hemphill County,"2,470","1,620","1,570",50,3.1,0,840,
Henderson County,"56,540","31,430","29,560","1,870",5.9,20,"25,090",
Hidalgo County,"384,410","204,500","179,970","24,530",12.0,120,"179,790",
Hill County,"24,250","13,900","13,310",590,4.2,20,"10,330",
Hockley County,"16,310","10,020","9,410",620,6.2,0,"6,290",
Hood County,"31,950","19,050","18,200",850,4.5,20,"12,880",
Hopkins County,"24,130","15,170","14,440",730,4.8,10,"8,950",
Houston County,"15,570","8,480","7,960",520,6.1,0,"7,100",
Howard County,"21,700","12,740","12,020",730,5.7,0,"8,960",
Hudspeth County,"2,300","1,230","1,130",100,8.1,0,"1,070",
Hunt County,"56,880","35,920","34,210","1,720",4.8,60,"20,910",
Hutchinson County,"17,950","10,400","9,820",580,5.6,0,"7,550",
Irion County,"1,360",870,850,20,2.3,0,490,
Jack County,"5,860","3,470","3,330",140,4.0,0,"2,390",
Jackson County,"10,670","6,340","6,030",300,4.7,0,"4,330",
Jasper County,"26,390","14,360","13,330","1,030",7.2,10,"12,030",
Jeff Davis County,"1,710","1,090","1,030",60,5.5,0,620,
Jefferson County,"179,880","107,840","99,300","8,540",7.9,170,"71,880",
Jim Hogg County,"3,790","2,040","1,870",170,8.3,0,"1,750",
Jim Wells County,"28,020","15,330","14,350",980,6.4,0,"12,690",
Johnson County,"91,950","61,910","59,150","2,760",4.5,60,"29,990",
Jones County,"11,940","7,300","6,850",450,6.2,40,"4,610",
Karnes County,"8,880","5,030","4,700",330,6.6,0,"3,850",
Kaufman County,"51,770","34,700","33,210","1,490",4.3,20,"17,050",
Kendall County,"17,620","11,220","10,860",360,3.2,40,"6,370",
Kenedy County,300,200,180,10,5.0,0,100,
Kent County,670,400,380,20,5.0,0,270,
Kerr County,"33,460","17,820","17,030",800,4.5,0,"15,630",
Kimble County,"3,450","2,020","1,950",60,3.0,0,"1,440",
King County,220,140,140,0,0.0,0,80,
Kinney County,"2,610","1,110","1,010",100,9.0,10,"1,490",
Kleberg County,"22,610","13,200","12,160","1,040",7.9,410,"8,990",
Knox County,"3,090","1,700","1,590",110,6.5,0,"1,400",
La Salle County,"3,790","1,980","1,830",160,8.1,0,"1,800",
Lamar County,"36,080","21,440","20,330","1,110",5.2,70,"14,570",
Lamb County,"10,690","6,080","5,730",350,5.8,10,"4,600",
Lampasas County,"13,280","8,050","7,680",370,4.6,390,"4,840",
Lavaca County,"14,730","8,890","8,680",220,2.5,0,"5,840",
Lee County,"11,260","7,500","7,310",190,2.5,10,"3,750",
Leon County,"12,070","6,350","6,010",340,5.4,0,"5,710",
Liberty County,"48,090","28,520","26,570","1,950",6.8,10,"19,550",
Limestone County,"15,280","9,030","8,530",500,5.5,0,"6,250",
Lipscomb County,"2,300","1,340","1,290",60,4.5,0,960,
Live Oak County,"8,340","4,480","4,240",240,5.4,0,"3,860",
Llano County,"14,410","6,760","6,560",200,3.0,0,"7,650",
Loving County,60,40,40,0,0.0,0,10,
Lubbock County,"178,110","119,030","112,850","6,180",5.2,100,"58,980",
Lynn County,"4,720","2,690","2,530",160,5.9,0,"2,030",
Madison County,"7,600","4,430","4,190",240,5.4,0,"3,170",
Marion County,"8,740","4,450","4,080",370,8.3,0,"4,300",
Martin County,"3,280","1,900","1,800",90,4.7,0,"1,390",
Mason County,"2,970","1,730","1,700",30,1.7,0,"1,240",
Matagorda County,"27,560","16,420","15,040","1,370",8.3,0,"11,140",
Maverick County,"31,440","15,940","13,150","2,790",17.5,20,"15,480",
Mc Culloch County,"6,140","3,440","3,200",240,7.0,0,"2,700",
Mc Lennan County,"154,330","98,550","93,120","5,430",5.5,160,"55,620",
Mc Mullen County,680,350,350,10,2.9,0,330,
Medina County,"27,510","17,050","16,170",880,5.2,100,"10,360",
Menard County,"1,850","1,040","1,000",40,3.8,0,810,
Midland County,"83,560","54,440","51,500","2,940",5.4,50,"29,080",
Milam County,"18,080","10,820","10,310",510,4.7,0,"7,260",
Mills County,"3,800","2,150","2,100",50,2.3,0,"1,650",
Mitchell County,"5,400","3,050","2,940",120,3.9,0,"2,340",
Montague County,"14,700","8,570","8,090",480,5.6,0,"6,130",
Montgomery County,"215,650","143,010","136,590","6,410",4.5,140,"72,510",
Moore County,"13,890","8,990","8,600",390,4.3,0,"4,900",
Morris County,"9,940","5,480","5,120",360,6.6,0,"4,470",
Motley County,"1,140",640,630,10,1.6,0,490,
Nacogdoches County,"42,100","26,280","24,770","1,520",5.8,30,"15,790",
Navarro County,"32,840","19,660","18,350","1,310",6.7,20,"13,160",
Newton County,"11,080","5,840","5,220",610,10.4,10,"5,240",
Nolan County,"11,580","6,790","6,380",410,6.0,0,"4,790",
Nueces County,"229,490","141,070","131,000","10,070",7.1,"2,460","85,960",
Ochiltree County,"6,450","4,350","4,150",200,4.6,0,"2,100",
Oldham County,"1,460",980,950,30,3.1,0,480,
Orange County,"63,750","38,700","35,670","3,030",7.8,30,"25,030",
Palo Pinto County,"20,630","12,620","11,990",640,5.1,10,"7,990",
Panola County,"17,270","9,570","9,020",550,5.7,0,"7,710",
Parker County,"63,980","43,240","41,470","1,780",4.1,80,"20,660",
Parmer County,"6,910","4,070","3,860",220,5.4,0,"2,840",
Pecos County,"10,720","6,460","6,090",370,5.7,0,"4,260",
Polk County,"29,480","14,970","13,970","1,000",6.7,10,"14,510",
Potter County,"78,190","49,850","46,660","3,190",6.4,50,"28,290",
Presidio County,"5,090","2,760","2,400",360,13.0,0,"2,330",
Rains County,"7,170","4,180","3,920",260,6.2,0,"2,990",
Randall County,"78,840","56,060","54,170","1,890",3.4,70,"22,720",
Reagan County,"2,310","1,450","1,410",50,3.4,0,860,
Real County,"2,340","1,210","1,170",40,3.3,0,"1,130",
Red River County,"11,060","6,310","5,940",370,5.9,0,"4,740",
Reeves County,"8,550","4,820","4,230",600,12.4,0,"3,730",
Refugio County,"5,930","3,410","3,240",170,5.0,0,"2,520",
Roberts County,700,470,460,10,2.1,0,240,
Robertson County,"11,690","6,740","6,320",420,6.2,0,"4,950",
Rockwall County,"30,850","21,970","21,570",400,1.8,10,"8,880",
Runnels County,"8,560","4,890","4,610",280,5.7,0,"3,670",
Rusk County,"34,220","19,900","18,830","1,080",5.4,0,"14,320",
Sabine County,"8,440","3,590","3,260",330,9.2,10,"4,850",
San Augustine County,"6,840","3,450","3,210",240,7.0,10,"3,390",
San Jacinto County,"17,150","9,020","8,350",670,7.4,10,"8,110",
San Patricio County,"47,320","26,060","24,190","1,870",7.2,"1,890","19,370",
San Saba County,"4,360","2,520","2,430",90,3.6,0,"1,840",
Schleicher County,"2,180","1,300","1,280",20,1.5,0,870,
Scurry County,"11,140","6,760","6,360",400,5.9,0,"4,380",
Shackelford County,"2,480","1,460","1,430",30,2.1,10,"1,010",
Shelby County,"18,930","10,340","9,800",540,5.2,0,"8,590",
Sherman County,"2,240","1,420","1,370",40,2.8,0,820,
Smith County,"129,240","81,130","77,350","3,780",4.7,20,"48,090",
Somervell County,"4,940","3,270","3,120",150,4.6,0,"1,670",
Starr County,"35,360","16,920","13,380","3,530",20.9,0,"18,440",
Stephens County,"6,970","4,080","3,920",150,3.7,0,"2,890",
Sterling County,"1,020",650,630,10,1.5,0,380,
Stonewall County,"1,350",740,720,20,2.7,0,610,
Sutton County,"3,020","1,920","1,860",70,3.6,0,"1,100",
Swisher County,"5,700","3,530","3,320",210,5.9,0,"2,180",
Tarrant County,"1,059,690","745,480","712,520","32,960",4.4,"2,380","311,830",
Taylor County,"90,640","57,110","54,030","3,090",5.4,"3,480","30,040",
Terrell County,830,490,470,30,6.1,0,340,
Terry County,"8,640","5,050","4,760",290,5.7,0,"3,590",
Throckmorton County,"1,430",890,850,40,4.5,0,550,
Titus County,"19,910","11,850","11,230",620,5.2,10,"8,060",
Tom Green County,"76,030","47,740","44,750","2,990",6.3,"1,310","26,990",
Travis County,"619,210","453,860","436,920","16,940",3.7,520,"164,830",
Trinity County,"10,830","5,380","5,020",360,6.7,0,"5,460",
Tyler County,"15,060","7,290","6,830",470,6.4,10,"7,760",
Upshur County,"26,650","15,520","14,710",810,5.2,10,"11,120",
Upton County,"2,540","1,380","1,310",80,5.8,0,"1,160",
Uvalde County,"18,100","10,450","9,790",660,6.3,20,"7,630",
Val Verde County,"31,310","16,960","15,060","1,900",11.2,950,"13,400",
Van Zandt County,"36,420","20,940","19,910","1,020",4.9,20,"15,470",
Victoria County,"60,910","40,190","38,360","1,830",4.6,10,"20,720",
Walker County,"35,170","23,070","21,850","1,220",5.3,30,"12,070",
Waller County,"22,070","14,130","13,320",810,5.7,10,"7,930",
Ward County,"7,800","4,330","3,970",360,8.3,0,"3,470",
Washington County,"22,100","13,690","13,200",490,3.6,20,"8,400",
Webb County,"127,230","68,490","62,220","6,270",9.2,20,"58,720",
Wharton County,"30,180","18,480","17,440","1,030",5.6,0,"11,700",
Wheeler County,"4,010","2,450","2,400",50,2.0,0,"1,560",
Wichita County,"91,460","57,030","54,210","2,810",4.9,"3,380","31,060",
Wilbarger County,"10,420","6,680","6,430",250,3.7,0,"3,740",
Willacy County,"13,450","6,980","6,020",960,13.8,10,"6,460",
Williamson County,"178,180","132,200","128,610","3,590",2.7,390,"45,590",
Wilson County,"23,620","14,620","13,940",680,4.7,120,"8,880",
Winkler County,"5,200","2,790","2,560",230,8.2,0,"2,410",
Wise County,"35,390","23,630","22,670",970,4.1,30,"11,730",
Wood County,"28,370","15,360","14,410",950,6.2,20,"12,990",
Yoakum County,"5,270","3,150","2,860",290,9.2,0,"2,120",
Young County,"13,690","8,290","7,880",410,4.9,10,"5,400",
Zapata County,"8,640","3,810","3,380",420,11.0,0,"4,840",
Zavala County,"7,770","3,640","3,030",610,16.8,10,"4,120",
Utah,"1,561,030","1,089,000","1,038,530","50,470",4.6,"4,880","467,150",Utah
Beaver County,"4,020","2,550","2,490",60,2.4,10,"1,460",
Box Elder County,"28,890","19,260","18,300",960,5.0,40,"9,590",
Cache County,"64,050","45,950","43,870","2,080",4.5,50,"18,050",
Carbon County,"14,920","9,260","8,520",740,8.0,0,"5,660",
Daggett County,660,410,380,30,7.3,0,250,
Davis County,"161,610","115,290","110,670","4,630",4.0,"2,700","43,610",
Duchesne County,"9,550","5,930","5,470",460,7.8,0,"3,620",
Emery County,"7,520","4,660","4,360",300,6.4,0,"2,860",
Garfield County,"3,300","2,170","2,000",180,8.3,0,"1,130",
Grand County,"6,430","4,460","4,070",400,9.0,0,"1,960",
Iron County,"23,730","16,090","15,310",780,4.8,30,"7,620",
Juab County,"5,350","3,540","3,410",130,3.7,0,"1,810",
Kane County,"4,480","2,790","2,640",150,5.4,0,"1,690",
Millard County,"8,320","5,180","4,880",300,5.8,10,"3,130",
Morgan County,"4,920","3,280","3,150",130,4.0,30,"1,610",
Piute County,"1,050",570,540,30,5.3,0,480,
Rich County,"1,360",840,800,40,4.8,0,520,
Salt Lake County,"643,990","463,440","443,240","20,200",4.4,880,"179,680",
San Juan County,"9,090","4,980","4,230",750,15.1,0,"4,110",
Sanpete County,"14,800","8,960","8,450",500,5.6,50,"5,790",
Sevier County,"12,900","8,030","7,530",500,6.2,10,"4,870",
Summit County,"21,890","17,020","16,540",480,2.8,0,"4,860",
Tooele County,"26,740","18,880","17,860","1,020",5.4,80,"7,780",
Uintah County,"17,450","11,110","10,250",860,7.7,30,"6,310",
Utah County,"247,550","171,620","164,380","7,240",4.2,190,"75,750",
Wasatch County,"10,480","7,300","6,990",310,4.2,10,"3,170",
Washington County,"64,150","37,290","35,530","1,760",4.7,30,"26,830",
Wayne County,"1,800","1,150","1,110",40,3.5,0,650,
Weber County,"140,070","97,010","91,580","5,440",5.6,740,"42,320",
Vermont,"458,430","323,210","311,390","11,820",3.7,730,"134,480",Vermont
Addison County,"25,640","18,620","18,080",540,2.9,0,"7,020",
Bennington County,"28,030","19,130","18,250",880,4.6,0,"8,900",
Caledonia County,"22,170","15,080","14,380",700,4.6,10,"7,080",
Chittenden County,"108,620","80,570","78,400","2,170",2.7,400,"27,650",
Essex County,"4,980","3,150","2,960",190,6.0,0,"1,820",
Franklin County,"33,480","23,880","23,060",820,3.4,50,"9,550",
Grand Isle County,"5,390","3,640","3,520",120,3.3,10,"1,740",
Lamoille County,"17,620","12,740","12,150",590,4.6,30,"4,850",
Orange County,"21,250","15,050","14,430",610,4.1,30,"6,170",
Orleans County,"19,850","12,810","11,980",840,6.6,10,"7,030",
Rutland County,"48,500","32,580","31,090","1,490",4.6,40,"15,880",
Washington County,"43,890","31,730","30,740",980,3.1,110,"12,060",
Windham County,"34,000","23,940","23,020",920,3.8,0,"10,050",
Windsor County,"45,000","30,280","29,330",950,3.1,30,"14,690",
Virginia,"5,301,160","3,519,180","3,388,280","130,910",3.7,"98,180","1,683,790",Virginia
Accomack County,"29,180","17,550","16,410","1,140",6.5,120,"11,510",
Albemarle County,"60,130","40,760","39,560","1,200",2.9,180,"19,180",
Alexandria city,"106,930","78,820","76,390","2,430",3.1,"1,860","26,250",
Alleghany County,"10,090","5,790","5,580",210,3.6,0,"4,290",
Amelia County,"8,690","5,730","5,570",170,3.0,0,"2,960",
Amherst County,"23,360","14,700","14,160",540,3.7,20,"8,640",
Appomattox County,"10,580","6,590","6,400",180,2.7,0,"3,990",
Arlington County,"157,220","116,590","113,430","3,160",2.7,"1,910","38,720",
Augusta County,"49,870","33,790","32,960",830,2.5,30,"16,040",
Bath County,"3,890","2,480","2,370",110,4.4,0,"1,410",
Bedford County,"47,090","31,200","30,420",780,2.5,0,"15,880",
Bedford city,"4,470","2,660","2,440",220,8.3,20,"1,790",
Bland County,"5,090","2,820","2,690",130,4.6,0,"2,270",
Botetourt County,"23,700","16,080","15,720",360,2.2,10,"7,610",
Bristol city,"13,640","7,550","7,050",500,6.6,10,"6,080",
Brunswick County,"12,160","6,760","6,390",380,5.6,20,"5,380",
Buchanan County,"20,970","8,710","8,010",700,8.0,0,"12,260",
Buckingham County,"10,310","6,110","5,780",340,5.6,10,"4,190",
Buena Vista city,"4,810","3,070","2,990",80,2.6,0,"1,740",
Campbell County,"39,590","25,890","25,100",790,3.1,30,"13,670",
Caroline County,"16,690","10,960","10,480",480,4.4,50,"5,680",
Carroll County,"23,250","14,270","13,650",620,4.3,0,"8,980",
Charles City County,"5,590","3,570","3,440",130,3.6,10,"2,010",
Charlotte County,"9,550","5,410","5,150",250,4.6,0,"4,140",
Charlottesville city,"32,110","20,050","19,430",620,3.1,40,"12,030",
Chesapeake city,"144,520","96,030","92,320","3,710",3.9,"5,850","42,640",
Chesterfield County,"191,310","138,940","135,180","3,760",2.7,650,"51,730",
